THypervBox COM Server 5.1.4_OSE r110228 win.amd64 (Aug  6 2020 11:19:57) release log
00:00:00.004000 main     Log opened 2023-10-21T08:45:40.545705900Z
00:00:00.004000 main     Build Type: release
00:00:00.004000 main     OS Product: Windows 10
00:00:00.004000 main     OS Release: 10.0.22635
00:00:00.004000 main     OS Service Pack: 
00:00:00.014002 main     DMI Product Name: B550 GAMING X V2
00:00:00.019003 main     DMI Product Version: -CF
00:00:00.019003 main     Host RAM: 16291MB total, 12427MB available
00:00:00.019003 main     Executable: C:\Program Files\AndroidTbox\TBoxSVC.exe
00:00:00.019003 main     Process ID: 7088
00:00:00.019003 main     Package type: WINDOWS_64BITS_GENERIC (OSE)
00:00:00.020003          THypervBox: object creation starts
00:00:00.111024          Home directory: 'C:\Users\raish\.THypervBox'
00:00:00.111024          Installed Drivers:
00:00:00.115024            C:\Program Files\AndroidTbox\TBoxDrv.sys (Version: 5.1.4.10228)
00:00:00.116024          Loading settings file "C:\Users\raish\.THypervBox\THypervBox.xml" with version "1.12-windows"
00:00:00.116024          USBLibInit: USB Service not found
00:00:00.245055          netIfGetBoundAdapters: could not find either 'hyperv_TBoxNetLwf' or 'sun_TBoxNetFlt' components (0x1)
00:00:00.246055          HostDnsMonitorProxy::notify
00:00:00.246055          SUPR0QueryVTCaps -> VERR_SVM_DISABLED
00:00:00.246055          VD: VDInit finished
00:00:00.247055          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={db57efcf-a490-11e9-be35-005056c00008} aComponent={SystemPropertiesWrap} aText={Cannot determine default Guest Additions ISO location. Most likely they are not available}, preserve=false aResultDetail=0
00:00:00.247055          THypervBox: object created
00:00:00.249055          Loading settings file "D:\Program Files\TxGameAssistant\VDI_100_x64\TVM_100.tbox" with version "1.12-windows"
